name,year,return,complete_calendar_year
SPY_BIL_0bps,2016,0.1350800005,True
SPY_BIL_0bps,2017,0.216496372,True
SPY_BIL_0bps,2018,-0.04451695128,True
SPY_BIL_0bps,2019,0.3119342131,True
SPY_BIL_0bps,2020,0.1821952575,True
SPY_BIL_0bps,2021,0.2851540647,True
SPY_BIL_0bps,2022,-0.1813934928,True
SPY_BIL_0bps,2023,0.2607654262,True
SPY_BIL_0bps,2024,0.2486538204,True
SPY_BIL_0bps,2025,0.1772008761,True
SPY_BIL_0bps,2026,0.1005208916,False
DEFENSIVE_BIL_0bps,2016,0.001275556306,True
DEFENSIVE_BIL_0bps,2017,0.006873087281,True
DEFENSIVE_BIL_0bps,2018,0.01696488376,True
DEFENSIVE_BIL_0bps,2019,0.02053412847,True
DEFENSIVE_BIL_0bps,2020,0.003929734937,True
DEFENSIVE_BIL_0bps,2021,-0.0009775058699,True
DEFENSIVE_BIL_0bps,2022,0.01359071182,True
DEFENSIVE_BIL_0bps,2023,0.04956265187,True
DEFENSIVE_BIL_0bps,2024,0.05195214402,True
DEFENSIVE_BIL_0bps,2025,0.04154461231,True
DEFENSIVE_BIL_0bps,2026,0.02076458716,False
STATIC80_BIL_0bps,2016,0.1076524938,True
STATIC80_BIL_0bps,2017,0.1719049685,True
STATIC80_BIL_0bps,2018,-0.03049478545,True
STATIC80_BIL_0bps,2019,0.2497265216,True
STATIC80_BIL_0bps,2020,0.1534293832,True
STATIC80_BIL_0bps,2021,0.2234003911,True
STATIC80_BIL_0bps,2022,-0.1426574907,True
STATIC80_BIL_0bps,2023,0.2176077813,True
STATIC80_BIL_0bps,2024,0.2078191903,True
STATIC80_BIL_0bps,2025,0.1496768157,True
STATIC80_BIL_0bps,2026,0.08527029142,False
STATIC70_BIL_0bps,2016,0.09406125184,True
STATIC70_BIL_0bps,2017,0.1501239859,True
STATIC70_BIL_0bps,2018,-0.02380101428,True
STATIC70_BIL_0bps,2019,0.219365538,True
STATIC70_BIL_0bps,2020,0.1375288417,True
STATIC70_BIL_0bps,2021,0.1933973906,True
STATIC70_BIL_0bps,2022,-0.1231912081,True
STATIC70_BIL_0bps,2023,0.1961801818,True
